;Pays;Code ISO;Capacité (+)/besoin (-) de financement (% du PIB);Chômage (% de la population active) (estimation nationale);Croissance du PIB (% annuel);Croissance du PIB par habitant (% annuel);Croissance du RNB (% annuel);Croissance du RNB par habitant (% annuel);Créances sur le gouvernement central (% du PIB);Dépenses (% du PIB);Dépenses publiques en éducation (% du PIB);Dépenses publiques en éducation, total (% des dépenses du gouvernement);Indice GINI;Inflation, déflateur du PIB (% annuel);Masse monétaire (% du PIB);PIB ($ US courants);PIB par habitant ($ US courants);Part des revenus détenus par les 20% moins élevés;Part des revenus détenus par les 20% plus élevés;Population active avec un niveau d’études de base (% de la population active totale);Population âgée de 0 à 14 ans (% du total);RNB ($ US courants);Taux d emploi, 15 ans et plus (%) (estimation nationale);Taux d’activité des 15-24 ans (%) (estimation nationale);Total de dette extérieure (% du RNB);Total des réserves (% de la dette extérieure totale);Valeur actuelle de la dette extérieure (% du RNB);Épargne brute (% du PIB);Épargne brute (% du RNB);Épargne intérieure brute (% du PIB)
0;Afghanistan;AFG;-0,461141911330864;5,81750005483628;6,6647753298789;3,45264024826434;;;-6,8685957432169;41,6153358947745;3,52979621291161;14,5529500246048;65,5;6,34387178443412;32,9364073566878;13801241389,6039;438,081703622797;;;49,7450008392334;46,7305356997211;18433312305,9672;49,3724994659424;45,3399991989136;0,198377448949619;258,877744435783;2,47910867930293;;;
1;Afrique du Sud;ZAF;-3,15651833418398;27,014737079018;2,55866916736513;1,14418116787896;2,51449143994706;1,10064848124598;22,1921520785681;31,4699268137264;5,45212936401367;18,9397444407145;63,55;6,55305282783136;70,8276591897038;296919183960,109;5688,27149623106;2,525;69,2;43,265555911594;30,2109183833681;289164015557,561;38,0915790357088;27,254736950523;3,42222062572761;36,3393575026559;5,57076492109845;16,3717875084402;16,8070394393987;19,7198998660443
2;Albanie;ALB;-3,2364715838289;14,5826316130789;4,11702300729396;4,55511255900912;2,66835216805464;2,95473724438678;31,5487955416527;23,6647984296836;3,38566179709001;11,3311901092529;31,9625;2,38527594850672;77,5158188875494;10708064290,6832;3666,79208930551;8,0125;40,0875;45,8084615560678;22,7203878701759;10786903078,057;47,9635712759835;34,6664281572614;3,41591153809154;51,8687979727535;8,25880876298665;21,3117083219804;21,0149514722628;9,39153586084567
3;Algérie;DZA;;14,3111763561473;3,25263157894734;1,49344987767732;3,32347331189716;1,56344461094005;-9,84023697875274;;4,33701992034912;11,4283504486084;27,6;5,66805568565513;69,0263038127361;145526913407,84;3919,95520491214;9,4;37,2;;29,1462305563732;142505181403,615;34,8862500190735;25,4014290400914;2,77505062792875;1846,81419495117;0,28307253385908;47,2901341588784;48,2250999047986;45,9643917968833
4;Allemagne;DEU;-0,60678719468806;6,81526308310659;1,26669337626563;1,21043007956627;1,49050867380691;1,4469563841412;3,22173029266911;29,304014664239;4,76769999663035;10,5733150641123;30,8785714285714;1,36279978307646;;3280057586326,77;40030,9462414943;8,3;39,3642857142857;38,0547370910645;13,9427737162301;3335234922491,78;55,4499997590717;50,4026312577097;;;;26,2471018131252;25,8422918784024;26,1422492434858
5;Andorre;AND;;;1,64844902839393;0,731948785736292;;;;;2,68075937777758;19,2489047050476;;1,62033192099655;;3088477337,61121;38928,6142400065;;;;;;;52,3399988810221;;;;;;
6;Angola;AGO;1,19250571346653;10,7579999446869;5,5899562220355;1,96408953047603;6,94970083621579;3,26424090462178;-0,195312964798047;22,8060745043009;2,60763001441956;8,04396994908651;47;35,3668843672227;28,218582862262;79722364199,8995;3172,73888658394;4,6;52,05;60,2575006484985;47,0268818746707;73051430723,5677;59,5160018920898;46,114001083374;8,72811669955035;48,8063635549648;12,4626191727744;31,0952663111868;34,4333860459563;41,0015631642031
7;Antigua-et-Barbuda;ATG;;8,42000007629395;2,42780618055243;1,1203581695802;;;12,1560515028526;;2,95576000213623;9,31484007835387;82;1,46736360048738;92,8929392369839;1205726900,5848;13659,4889754201;;;;24,6552662583986;1151886374,21535;65,7600021362305;51,0099983215332;;;;14,7114074410556;15,4317491068814;18,8389255319576
8;Arabie saoudite;SAU;-1,8298813643754;5,61444446775648;3,37742528055359;0,655382911317887;3,41099345288039;0,68745730387559;-23,6473930891252;27,7712891232972;6,4568886756897;20,5696740831648;;4,87751567975654;55,8823027969137;522326906012,772;18179,4456930124;;;48,170000076294;30,0399865045707;530391369298,277;49,5414287022182;17,6476923135611;;;;39,2747138111759;38,7386547979903;43,4117066025441
9;Argentine;ARG;-3,88412218987768;10,3664706174065;2,12737189364029;1,0708452438019;2,10114485795416;1,04495935763179;20,2424805037982;21,8577575392086;4,81982242359835;14,9435352998621;45,5;23,756396230749;27,1111351995737;389953902226,483;9337,91029568822;4,14117647058824;50,0411764705882;51,3792310861441;26,2292644621325;377392966439,189;53,9717642840217;41,8664278302874;5,47081724215494;23,0491421579989;12,5503705682182;16,9091619165603;17,5847180453736;20,5433467043779
10;Arménie;ARM;-2,49114032016208;17,7307693041288;6,61052631560568;6,83029423033434;6,57313380154766;6,79400514738164;0,988035252604468;21,5642382037397;2,76652239350712;12,1180967184214;32,1555555555555;3,62155609378884;28,2282918977049;8588950022,1597;2934,3888223967;8,47777777777778;40,95;34,814615543072;20,8635121746983;8926641414,78391;48,1923073988694;35,194545399059;8,21272995544607;28,9331333723766;10,4204531621857;16,8685798929231;16,1962182292698;5,41480952716215
11;Aruba;ABW;;8,02750003337859;0,575666358655223;-0,297778412790442;;;0,087223123087875;;5,57144856452942;20,4621729169573;70,3;2,43715337053098;65,7515724574656;2506441012,15905;24748,5205599823;;;;20,315781730476;2347804784,75189;59,2166659037272;44,7299995422363;;;;9,61998306281304;10,0338971510379;19,5935335537648
12;Australie;AUS;-0,834435414307722;5,49649999141693;2,86063860596656;1,35247903328577;2,8277007941024;1,31924909734006;0,490666720579739;25,9873245108521;5,04964234278752;13,5529053027813;34,1;2,94221924854498;96,7375621537452;1051481669933,95;46484,8633390505;7,4;41,6;62,6960006713867;19,4082271226594;1018424493938,77;61,2519998550415;68,6899997711182;;;;22,2104088937453;22,9401756064827;25,4471198928419
13;Autriche;AUT;-1,80076874905855;5,07368421554565;1,5392724562733;0,992472881213719;1,61808647815326;1,071132147905;8,55174007031347;45,7747568775071;5,43798356897691;10,6151259366204;30,2666666666667;1,77086703824458;;370723375049,117;43856,9500761862;8,09333333333333;38,4533333333333;37,1126315468236;15,0605747542711;370481034610,797;57,0021049097965;57,5121054398386;;;;26,5426302907432;26,5410379574583;27,418101921792
14;Azerbaïdjan;AZE;7,2189434586122;6,35526313279804;8,55638669238348;7,31144431248185;12,4493877025697;11,1035673915633;-3,94906664831385;22,7742701143059;2,79332167572445;9,97866394784715;28,36;8,05326066647853;25,2612041019247;39644105973,2203;4272,66672883633;10;38,84;;24,6171835986818;37003641620,2229;63,0055558946398;35,8300003051758;2,79138165638424;80,2329731216678;7,79881143859688;34,7717929223862;37,7402654542922;40,7144450362656
15;Bahamas;BHS;-2,56292763036798;11,0605883317835;0,971335507957419;-0,438898621966269;0,878916468999807;-0,530744110610375;12,8508052267078;14,4430816598745;;;82,8;1,8223008406496;53,4043745583674;10607985789,4737;30190,8653978477;;;;26,1199991424823;10353360768,4211;66,7214284624372;;;;;25,5967012030815;26,1830070354484;27,0985508085405
16;Bahreïn;BHR;2,99943789444542;3,27166666587194;4,37778811526795;-0,471282936248673;4,40497806363017;-0,443029246128668;0,699183559726797;21,9620210515399;2,56646749377251;9,02119493484497;74,7;3,6499648069953;71,488980334038;24936821108,6226;20513,5550434793;;;;22,5122605802836;23559729395,2967;63,2454546148127;40,8040000915527;;;;30,8348660221829;32,4657888003585;43,9513556483363
17;Bangladesh;BGD;-0,772741199563711;4,21124997735024;6,20073091886605;4,84426854954554;6,27360076758862;4,91573192819869;14,8398641990443;8,86291864138245;1,97402537786044;15,4732708564171;32,5666666666667;6,00205043353993;55,5234980237576;136417354843,6;897,311115479704;8,76666666666667;41,8;61,2699996948242;31,8704911550483;144514959544,749;55,6550000508626;44,7699998219808;1,05783006883488;40,6069166439753;2,43180227323073;35,4887952187162;33,4654682829419;21,7074460270175
18;Barbade;BRB;-5,75542749087107;9,720526243511;0,498529949282941;0,20500723757116;;;21,0427219670756;31,582198133599;5,50444211278643;17,5018956320626;77,8;2,39342883926546;108,197387509077;4356105263,1579;15472,0080219811;;;57,2840003967285;19,453348543368;4167760068,42105;60,1936842265882;47,6827274669301;;;;6,07017171361578;6,33674618931765;10,375008422783
19;Belgique;BEL;-1,79194684781704;7,46315785458213;1,5895258512179;0,984517790894484;1,51729204007056;0,913030747122265;19,3474446707566;42,4159232372726;6,40058698654175;12,0140249252319;28,3133333333333;1,7044297319539;;448079943565,227;40949,3565261168;8,60666666666666;37,1066666666667;30,9105262756348;17,0691359381043;454933259284,637;49,1426319323088;32,0373681720935;;;;25,7535144527901;25,3658075502085;25,7366186555848
20;Belize;BLZ;-3,457667558852;8,53363639658147;2,83996135675659;0,396126433099554;2,76508250258196;0,323436541515548;7,63918861196685;24,2423516765564;6,44484420617422;20,1600532531738;80,3;1,5424240522105;71,948089248192;1408953347,36842;4311,52972813905;;;58,0383338928222;35,4265181304604;1288996213,1579;58,6166667938232;47,7616666158041;14,7779726293419;18,8219222943723;19,4804308817564;9,66000761859225;10,5817148626591;13,1072898528006
21;Bermudes;BMU;;7,00199975967407;0,145911136123575;-0,032731153009363;;;;;1,95902003347874;10,7186537981033;;4,11523358213512;;6069180736,84211;94132,4241079892;;;;;6979352785,418;69,939998626709;;;;;39,4124797167108;38,0805065566403;38,4846417174675
22;Bhoutan;BTN;-1,67014079817601;2,81769230732551;7,27647640595738;5,84252319391723;6,74608782966792;5,31866339385945;0,684490796716922;20,2816458764431;6,06022310256958;18,4183747951801;38,8;4,92322227818255;64,0392009113345;1470049932,74933;2085,22089492255;6,65;45,875;60,6000003814698;31,4234089558376;1378104178,57417;62,4344444274903;38,0125000476837;3,97943385392832;74,8905397965912;21,9818159958119;31,2511129696419;33,1704131276125;30,7038823815351
23;Bolivie;BOL;-2,65165876399245;3,67941171982709;4,25308634549914;2,54999724811504;4,29330594033332;2,59002356239446;7,25042838365125;25,7400606275092;;;50,4375;4,99483599025928;71,9157241932553;22159153329,4561;2120,49728402846;3,2125;54,5375;64,1731252670288;34,3435916121967;21352118526,8138;67,2388886345757;48,5992311330942;4,03069602040846;98,9913314867411;6,37960065688318;19,9807933265413;20,789895523495;18,5142958151136
24;Bosnie-Herzégovine;BIH;-0,220005675644428;25,2285714149475;3,2950224077607;3,98394005916622;1,96952953614194;3,00422424914642;-2,45691815312708;36,6768454881962;;;32,525;2,67135154925919;54,7028050250539;15226157352,0238;4263,20338698114;7,8;40,5;28,9735716411046;16,4863434791478;15528540298,63;32,2321427209037;31,6442856107439;4,18808587837955;37,9999874757951;6,39042995582565;10,0429175834989;9,89083908218348;-6,08874742997049
25;Botswana;BWA;-0,805652055632622;19,4600003560384;4,26093772851306;2,42658731630725;4,16886013682831;2,33498745820341;-28,8236045099073;29,665827356191;9,72100003560383;24,2695732116699;59,5;6,18036004254321;44,6349200595287;12513316232,6502;6210,35285121574;3;64,3333333333333;60,7624998092651;35,5682990453034;11763660353,9282;50,276000213623;39,6116669972738;0,845714217720761;881,860215273886;1,97846857295344;37,8167678533851;40,2871384060056;35,2179195986262
26;Brunéi Darussalam;BRN;;7,97749984264374;0,855913850393407;-0,531234545705569;1,00196521477258;-0,387309765846858;-16,3863131538552;;3,20737996101379;9,12744808197023;80;2,88334276536149;70,2059360346563;12327278059,0636;31345,5895675701;;;55,7124996185303;26,0646341533907;12408744002,486;60,1300003051758;41,0860000610351;;;;54,9476941890097;54,5437101412078;57,1642118526685
27;Brésil;BRA;-4,72371065505377;9,18555556403266;2,28600673574809;1,27473071537841;2,29445911309704;1,28306928537117;36,3746540432367;33,7004355213532;5,28325939178467;13,8275355100632;54,6352941176471;7,54663516837041;74,944256748679;1613643079724,51;8138,4748407198;3,10588235294118;59,1647058823529;62,0233334435357;24,945346097508;1575531903995,66;58,9916665818956;59,1077777014838;5,50494183062929;58,328578881086;3,07695140587427;16,3280435031142;16,7481592601294;18,6053443725984
28;Bulgarie;BGR;-0,50300361000276;10,1378947810123;3,5878511684625;4,45740570187395;3,61467478528643;4,48722506985371;-1,02915231982999;32,5666191709018;3,74233290127346;11,0290271214076;36,5666666666667;4,25926263823614;67,5185107600139;45554705325,8779;6225,23875280556;6,075;43,0666666666667;25,731052699842;14,0441300508719;44479029852,8124;47,5689470391524;28,5352630615234;11,0496601686369;46,8677388423861;4,92857780897208;20,0037186459442;20,384127310179;18,372359067683
29;Burkina Faso;BFA;-3,62795202546567;4,25;5,8521046115136;2,77796180199353;5,57718025027463;2,50002128949301;-0,741070431365478;12,2683090788749;4,17161722616716;18,6176508123224;39,4666666666667;2,237753952888;26,847910598341;9957276413,22032;605,404368274577;6,93333333333333;47,0333333333333;48,5550003051758;46,0557347458399;9669379586,99549;64,4425001144409;47,706667582194;0,804730130399016;;3,64345543806565;12,8609172807526;13,2561139537888;9,66267235468713
30;Burundi;BDI;;1,60000002384186;2,67227334176266;-0,477825985394698;2,6096625743671;-0,539962817487839;10,9413994658505;;5,17308402061463;16,2232912699381;36;9,50868529653225;25,8188137162365;1978228796,22168;214,903960579429;7,9;44,6;33,7799987792969;46,233342498541;1969878728,35413;77,7299995422364;51,3299999237061;1,98835896118195;23,4522353180602;2,939479431217;5,90072936939957;5,95339470606913;-6,49870972654691
31;Bélarus;BLR;0,86599591135611;2,46722223030196;4,46341752592933;4,76423564642686;4,31795147364211;4,61870022908841;-5,15979283667197;29,2224389630486;5,10788840513963;11,7650799384484;27,4888888888889;26,2906511149983;27,1677604090771;48053735066,7446;5045,93298196239;9,15;36,7666666666667;;15,9871017930546;46901554384,6003;68,0166657765706;48,2000007629395;5,27940396624071;19,6364997777659;8,99735765455855;27,4502313067967;28,0170833702136;29,3629888059698
32;Bénin;BEN;;1,46000001827876;4,44731738822569;1,51238113681518;4,41079538233352;1,47687537672244;-2,58925427631737;;2,8880894464605;19,1554696139167;43,2666666666667;2,10576764785349;23,3675729885653;9593584297,03554;1003,17452510988;5,43333333333333;49,6666666666667;78,0100021362305;43,7799504086548;9533131820,6679;73,0166676839193;48,1980003356934;0,893870633530019;;5,19913989765223;14,1487631811887;14,2340314181996;12,954152742543
33;Cabo Verde;CPV;;15,5359998703003;4,46568853379086;3,09852500244352;2,74395216458631;1,4991030598208;21,5646219503098;26,6432333305117;5,72547927269569;17,0798463087816;47,3666666666667;1,57843183801686;85,2996938481137;1472529176,07572;2940,63404714509;4,96666666666667;53,3333333333333;64,0974998474121;33,7012940608111;1425148707,43564;49,6279998779297;36,3849992752075;2,60006592249619;36,4892783109484;20,6006059567953;32,3497603051831;33,4489734928671;18,6501256812202
34;Cambodge;KHM;-1,65916061657809;1,32769231268993;7,58677013484447;5,8746775716689;7,44032995073605;5,7305843106658;-6,65242396511798;10,9422434123493;1,74058180505579;9,29925368048928;70,2;3,59233606186196;48,0305154530182;12799297922,9953;855,716645737554;;;81,4116668701172;34,3442542052621;12123887682,5887;79,8584612332858;74,0884619492751;2,34143838665913;75,21542680279;5,89022416308858;18,8224472914238;19,8090108849911;15,2015489764103
35;Cameroun;CMR;-2,98603430893712;4,51200003623962;4,26510750958611;1,49521591589297;4,49352151536936;1,71753751159777;-0,111454917348376;12,5617404072458;2,8573382321526;17,1093305699966;43,8333333333333;1,9513265121773;17,8108286081767;26015845359,4644;1231,72259750909;5,5;49,9333333333333;76,4099998474121;43,7114799772768;25535248256,1417;69,7425003051758;51,5799992879232;2,37890937981265;53,9966865256473;5,35032218247233;18,0113634477593;18,4008848642711;19,0585929982701
36;Canada;CAN;0,511377228693869;7,06400003433228;2,54531794245343;1,45691583092973;2,64747907521391;1,55805117841363;16,5053932587131;17,6923356449176;4,95975869894028;12,2394337654114;33,64;1,40566783672403;142,777461019968;1439390876685,44;41896,2830559202;7,04;40,84;47,9090000152588;16,8589367549615;1417507372481,49;61,7610000610352;64,9609994888306;;;;21,5794874324893;21,928272382154;23,2966211855587
37;Chili;CHL;0,574173347177139;8,31052642119558;3,68073096006761;2,53543005818157;3,62578019306041;2,48125168278062;7,96626011564546;19,7227684195814;4,14724860191345;18,1962118784587;46,6285714285714;4,72361434711836;78,8436288909679;197251346174,581;11314,3802815335;5,21428571428571;53,0428571428571;48,4515377924993;22,5949231048171;186174952852,466;53,2952631900185;36,3326318640458;;;;21,8687654301322;23,3208951065763;26,7852428088998
38;Chine;CHN;;4,12941173946156;9,05033508054429;8,46816079022927;9,09802570983622;8,51555841147977;12,885198847951;;;;41,02;3,50368086572259;172,840044151347;6829998626227,44;5020,71110972246;5,77;47,12;;19,4549089275234;6807442587307,75;70,5136843229595;57,3800010681152;1,27633036609738;277,254899641444;0,46031306544088;46,2433532893036;46,4142728391069;46,1551474994453
39;Chine, RAS de Hong Kong;HKG;;4,47944447729323;3,3484866528438;2,70227429802357;;;-10,7316166706229;;3,71689105033875;20,8657848960475;77,7;0,796750101197427;316,930848208365;246951444319,312;34695,2823955008;;;48,0787496566773;12,8250210286849;254094653699,325;58,0293748378754;40,9699997901917;;;;29,6912693165626;28,914050829304;27,8797804067302
40;Chypre;CYP;-3,25577100345402;7,93421056396083;2,38608993069071;1,03080782108139;2,67696105566589;1,34556408985288;24,353592515386;48,811968536619;6,28825563192367;16,0205082893372;32,55;1,64306875896989;;21529946187,0646;26491,7706652402;8,35714285714286;41,2071428571429;44,3731581035413;18,5244650899835;20928573896,3002;58,0494738127056;39,9399998313502;;;;14,6991099138139;15,2063734241624;18,5428942094058
41;Cisjordanie et Gaza;PSE;;22,0363159179688;4,54963331294625;1,9825842368823;4,75253170468509;2,18122243998896;3,71217083126826;;5,56782565798078;;34,525;3,21795355454446;69,1096945182287;9454444444,44444;2407,32657132633;7,4875;42,3375;38,4968424345318;42,68297406818;10393988888,8889;31,6673687382748;26,5110526837801;;;;8,37703063199932;7,59502855259649;-19,542428625966
42;Colombie;COL;-3,24324398088871;10,69684199283;3,8582362219013;2,56072348601973;3,797502309519;2,50121422311442;12,0533379109728;27,6345590195739;4,34645718998379;15,4323648876614;53,325;4,92408902993178;38,828905502278;247207051350,08;5371,55345367941;3,46875;58,06875;61,8511110941569;27,3709343201733;239987861695,176;60,1078946966874;53,1905262595729;5,50722921612926;40,1616598730073;7,0607607683159;17,3132484781639;17,8343610668769;17,9852210303335
43;Comores;COM;;6,35500025749207;2,81764971280753;0,409227461369356;2,89351182596823;0,474220903308745;1,21509762252373;;2,84741568565369;19,0204470498221;50,6;2,5821409424551;20,397246869009;871969152,32269;1231,69899614398;4,25;55,9;36,1799993515014;41,2408199533073;872883395,202672;40,1649990081787;15,1950001716614;0,806698226136914;64,4180484031437;3,09936909640412;10,7202599300491;10,71301635289;-1,84514496985379
44;Congo, République du;COG;6,40872108062281;15,2999998728434;2,06664620344161;-0,814758151382506;3,08702480336312;0,169458980720312;-4,68540315682233;17,1251360374474;3,7715488937166;11,6909343401591;48,1;5,2647242447779;20,4240440114579;10546416202,5995;2391,22634065752;4,55;53,5;63,6300010681152;41,8912916388629;9482236875,04793;51,435001373291;42,5;2,64125650371312;59,3922014689747;9,63642843507687;38,6494487508607;44,1522088649778;51,2733368547448
45;Congo, République démocratique du;COD;;3,66999983787537;5,38054267663988;2,0426529652916;5,32809605912008;1,99155216640653;1,02728276824083;;1,88044999043147;12,7812282244364;42,15;19,2299353282105;8,64115320315287;24873472411,7276;355,090357950348;5,6;48,45;68,1049995422364;46,0732501028347;23717420751,3457;66,7500019073487;40,5549983978271;2,16141848500254;11,6743087111805;3,99718829238408;13,6611872298217;14,3208515718663;12,1794462528428
46;Corée, République de;KOR;1,46809403266081;3,55250000953674;3,85383606515305;3,33391338516004;3,94008037973055;3,41960781928927;-3,06344256070306;20,1208332252362;4,33309984207153;;31,9;1,94281926879773;124,67513609454;1174474307606,67;23505,8751950188;7,275;39,35;48,2933330535889;16,283573339324;1177263245023,85;60,0324996948242;29,0114998817444;;;;34,3979506527516;34,3517367060523;34,6324927260617
47;Corée, République démocratique de;PRK;;;;;;;;;;;;;;;;;;;22,7816306608318;;;;;;;;;
48;Costa Rica;CRI;-2,24712009753427;7,69842112691779;3,92906146177364;2,61287483817042;3,86458065539459;2,54866468083598;11,3097967794642;25,1322457731882;6,07647222942776;22,5427983227898;49,0777777777778;7,35335623834061;50,4417761348667;37774305131,0071;8072,76580547359;4,11111111111111;54,3555555555555;58,5447369625694;24,8903434769227;36214462259,2627;56,186842265882;47,4236843711452;4,88947137856463;38,1642295786611;6,37745343887183;14,8251706976504;15,4359206779424;17,7687558219038
